        hour            z         tsoi
       8.500      -46.250       14.821
       8.500      -48.750       14.870
       8.500      -51.250       14.908
       8.500      -53.750       14.937
       8.500      -56.250       14.958
       8.500      -58.750       14.973
       8.500      -61.250       14.982
       8.500      -63.750       14.987
       8.500      -66.250       14.988
       8.500      -68.750       14.987
       8.500      -71.250       14.983
       8.500      -73.750       14.979
       8.500      -76.250       14.973
       8.500      -78.750       14.967
       8.500      -81.250       14.960
       8.500      -83.750       14.954
       8.500      -86.250       14.948
       8.500      -88.750       14.942
       8.500      -91.250       14.936
       8.500      -93.750       14.931
       8.500      -96.250       14.927
       8.500      -98.750       14.923
       9.000        0.000       16.294
       9.000       -1.250       15.836
       9.000       -3.750       15.134
       9.000       -6.250       14.617
       9.000       -8.750       14.254
       9.000      -11.250       14.018
       9.000      -13.750       13.884
       9.000      -16.250       13.830
       9.000      -18.750       13.836
       9.000      -21.250       13.885
       9.000      -23.750       13.965
       9.000      -26.250       14.062
       9.000      -28.750       14.169
       9.000      -31.250       14.279
       9.000      -33.750       14.386
       9.000      -36.250       14.487
       9.000      -38.750       14.579
       9.000      -41.250       14.661
       9.000      -43.750       14.732
       9.000      -46.250       14.793
       9.000      -48.750       14.843
       9.000      -51.250       14.883
       9.000      -53.750       14.915
       9.000      -56.250       14.940
       9.000      -58.750       14.957
       9.000      -61.250       14.969
       9.000      -63.750       14.977
       9.000      -66.250       14.980
       9.000      -68.750       14.981
       9.000      -71.250       14.979
       9.000      -73.750       14.975
       9.000      -76.250       14.971
       9.000      -78.750       14.966
       9.000      -81.250       14.960
       9.000      -83.750       14.954
       9.000      -86.250       14.948
       9.000      -88.750       14.943
       9.000      -91.250       14.937
       9.000      -93.750       14.932
       9.000      -96.250       14.928
       9.000      -98.750       14.924
       9.500        0.000       16.913
       9.500       -1.250       16.422
       9.500       -3.750       15.648
       9.500       -6.250       15.057
       9.500       -8.750       14.623
       9.500      -11.250       14.320
       9.500      -13.750       14.126
       9.500      -16.250       14.018
       9.500      -18.750       13.978
       9.500      -21.250       13.987
       9.500      -23.750       14.034
       9.500      -26.250       14.104
       9.500      -28.750       14.190
       9.500      -31.250       14.283
       9.500      -33.750       14.378
       9.500      -36.250       14.471
       9.500      -38.750       14.557
       9.500      -41.250       14.636
       9.500      -43.750       14.706
       9.500      -46.250       14.766
       9.500      -48.750       14.818
       9.500      -51.250       14.860
       9.500      -53.750       14.894
       9.500      -56.250       14.921
       9.500      -58.750       14.941
       9.500      -61.250       14.956
       9.500      -63.750       14.965
       9.500      -66.250       14.971
       9.500      -68.750       14.974
       9.500      -71.250       14.973
       9.500      -73.750       14.972
       9.500      -76.250       14.968
       9.500      -78.750       14.964
       9.500      -81.250       14.959
       9.500      -83.750       14.954
       9.500      -86.250       14.948
       9.500      -88.750       14.943
       9.500      -91.250       14.938
       9.500      -93.750       14.933
       9.500      -96.250       14.929
       9.500      -98.750       14.925
      10.000        0.000       17.500
      10.000       -1.250       16.983
      10.000       -3.750       16.150
      10.000       -6.250       15.496
      10.000       -8.750       14.998
      10.000      -11.250       14.634
      10.000      -13.750       14.383
      10.000      -16.250       14.223
      10.000      -18.750       14.136
      10.000      -21.250       14.106
      10.000      -23.750       14.119
      10.000      -26.250       14.161
      10.000      -28.750       14.224
      10.000      -31.250       14.300
      10.000      -33.750       14.381
      10.000      -36.250       14.463
      10.000      -38.750       14.542
      10.000      -41.250       14.617
      10.000      -43.750       14.684
      10.000      -46.250       14.744
      10.000      -48.750       14.795
      10.000      -51.250       14.839
      10.000      -53.750       14.875
      10.000      -56.250       14.903
      10.000      -58.750       14.926
      10.000      -61.250       14.942
      10.000      -63.750       14.954
      10.000      -66.250       14.962
      10.000      -68.750       14.966
      10.000      -71.250       14.968
      10.000      -73.750       14.967
      10.000      -76.250       14.965
      10.000      -78.750       14.962
      10.000      -81.250       14.958
      10.000      -83.750       14.953
      10.000      -86.250       14.948
      10.000      -88.750       14.943
      10.000      -91.250       14.939
      10.000      -93.750       14.934
      10.000      -96.250       14.930
      10.000      -98.750       14.925
      10.500        0.000       18.044
      10.500       -1.250       17.511
      10.500       -3.750       16.632
      10.500       -6.250       15.926
      10.500       -8.750       15.373
      10.500      -11.250       14.955
      10.500      -13.750       14.650
      10.500      -16.250       14.441
      10.500      -18.750       14.310
      10.500      -21.250       14.240
      10.500      -23.750       14.218
      10.500      -26.250       14.232
      10.500      -28.750       14.272
      10.500      -31.250       14.328
      10.500      -33.750       14.394
      10.500      -36.250       14.464
      10.500      -38.750       14.535
      10.500      -41.250       14.604
      10.500      -43.750       14.667
      10.500      -46.250       14.725
      10.500      -48.750       14.776
      10.500      -51.250       14.819
      10.500      -53.750       14.856
      10.500      -56.250       14.886
      10.500      -58.750       14.910
      10.500      -61.250       14.929
      10.500      -63.750       14.942
      10.500      -66.250       14.952
      10.500      -68.750       14.958
      10.500      -71.250       14.961
