           year          carbon        nitrogen
        1.79184        39.79636         2.02925
        1.79458        39.76175         2.02945
        1.79732        39.72720         2.02965
        1.80006        39.69272         2.02984
        1.80280        39.65830         2.03004
        1.80554        39.62395         2.03023
        1.80828        39.58967         2.03042
        1.81102        39.55545         2.03061
        1.81376        39.52129         2.03080
        1.81650        39.48720         2.03099
        1.81924        39.45318         2.03117
        1.82197        39.41922         2.03135
        1.82471        39.38532         2.03153
        1.82745        39.35149         2.03171
        1.83019        39.31772         2.03189
        1.83293        39.28401         2.03207
        1.83567        39.25037         2.03224
        1.83841        39.21680         2.03241
        1.84115        39.18328         2.03258
        1.84389        39.14983         2.03275
        1.84663        39.11644         2.03292
        1.84937        39.08312         2.03308
        1.85211        39.04985         2.03324
        1.85485        39.01665         2.03341
        1.85759        38.98352         2.03357
        1.86033        38.95044         2.03372
        1.86307        38.91743         2.03388
        1.86581        38.88448         2.03403
        1.86855        38.85159         2.03419
        1.87129        38.81876         2.03434
        1.87403        38.78599         2.03449
        1.87677        38.75329         2.03463
        1.87951        38.72064         2.03478
        1.88225        38.68806         2.03492
        1.88499        38.65554         2.03507
        1.88773        38.62307         2.03521
        1.89047        38.59067         2.03535
        1.89321        38.55833         2.03548
        1.89595        38.52605         2.03562
        1.89869        38.49383         2.03575
        1.90143        38.46167         2.03589
        1.90417        38.42957         2.03602
        1.90691        38.39753         2.03615
        1.90965        38.36555         2.03627
        1.91239        38.33362         2.03640
        1.91513        38.30176         2.03652
        1.91787        38.26996         2.03664
        1.92061        38.23821         2.03677
        1.92334        38.20652         2.03688
        1.92608        38.17490         2.03700
        1.92882        38.14333         2.03712
        1.93156        38.11181         2.03723
        1.93430        38.08036         2.03734
        1.93704        38.04897         2.03745
        1.93978        38.01763         2.03756
        1.94252        37.98635         2.03767
        1.94526        37.95513         2.03778
        1.94800        37.92396         2.03788
        1.95074        37.89285         2.03798
        1.95348        37.86180         2.03808
        1.95622        37.83081         2.03818
        1.95896        37.79987         2.03828
        1.96170        37.76899         2.03838
        1.96444        37.73817         2.03847
        1.96718        37.70740         2.03856
        1.96992        37.67669         2.03866
        1.97266        37.64604         2.03875
        1.97540        37.61544         2.03883
        1.97814        37.58490         2.03892
        1.98088        37.55441         2.03900
        1.98362        37.52398         2.03909
        1.98636        37.49360         2.03917
        1.98910        37.46328         2.03925
        1.99184        37.43302         2.03933
        1.99458        37.40281         2.03940
        1.99732        37.37265         2.03948
        2.00006        37.34255         2.03955
        2.00280        37.31251         2.03963
        2.00554        37.28251         2.03970
        2.00828        37.25258         2.03977
        2.01102        37.22269         2.03983
        2.01376        37.19286         2.03990
        2.01650        37.16309         2.03996
        2.01924        37.13337         2.04003
        2.02197        37.10370         2.04009
        2.02471        37.07409         2.04015
        2.02745        37.04453         2.04021
        2.03019        37.01502         2.04026
        2.03293        36.98557         2.04032
        2.03567        36.95616         2.04037
        2.03841        36.92682         2.04042
        2.04115        36.89752         2.04047
        2.04389        36.86828         2.04052
        2.04663        36.83909         2.04057
        2.04937        36.80995         2.04062
        2.05211        36.78086         2.04066
        2.05485        36.75183         2.04071
        2.05759        36.72285         2.04075
        2.06033        36.69392         2.04079
        2.06307        36.66504         2.04083
        2.06581        36.63622         2.04086
        2.06855        36.60744         2.04090
        2.07129        36.57872         2.04093
        2.07403        36.55004         2.04097
        2.07677        36.52142         2.04100
